,RegionID,PredictedReturn,ActualReturn,BenchmarkReturn,SizeRank,RegionName,RegionType,StateName
3,394347,0.14615239,0.1260635169590123,0.1275694604923423,9,"Atlanta, GA",msa,GA
16,394463,0.1385012,0.221190311291511,0.16364270372283296,3,"Chicago, IL",msa,IL
42,394770,0.13275678,0.2494752132669058,0.14077015628061207,107,"Lansing, MI",msa,MI
32,394640,0.13110313,0.16516137316076618,0.14116992155132468,53,"Grand Rapids, MI",msa,MI
89,395160,0.12211175,0.12878740748162998,0.08737774006315546,93,"Toledo, OH",msa,OH
4,394352,0.11487046,0.11023403212783678,0.12035637068540961,96,"Augusta, GA",msa,GA
24,394530,0.1145996,0.22798719510720256,0.1390392191788974,19,"Denver, CO",msa,CO
34,394653,0.10765484,0.2928987546549371,0.1464983585900208,61,"Greenville, SC",msa,SC
30,394590,0.107617006,0.12314575400549121,0.1125848440312891,108,"Fayetteville, AR",msa,AR
18,394475,0.107079014,0.13298434338059528,0.10606094532055743,35,"Cleveland, OH",msa,OH
9,394404,0.10355103,0.22763467216119548,0.11780891020065698,10,"Boston, MA",msa,MA
94,395235,0.1000583,0.3583154507063049,0.12780863362065875,89,"Winston, NC",msa,NC
45,394798,0.099926695,0.12408524285834255,0.10456971827674155,81,"Little Rock, AR",msa,AR
69,395005,0.098836645,0.21326653257328476,0.11509975223291868,39,"Providence, RI",msa,RI
78,395057,0.09788571,0.11559499694387232,0.1181714864549046,12,"San Francisco, CA",msa,CA
47,394816,0.09659864,0.1758928009684,0.1036293531627861,88,"Madison, WI",msa,WI
17,394466,0.096268296,0.17545995504449796,0.13046554259545062,28,"Cincinnati, OH",msa,OH
82,395078,0.096216455,0.11495699266481485,0.12118342339474975,15,"Seattle, WA",msa,WA
13,394457,0.09570518,0.19980654350588778,0.09515346692386584,75,"Charleston, SC",msa,SC
81,395075,0.09508672,0.09753728423605468,0.10206405916055039,101,"Scranton, PA",msa,PA
22,394514,0.093605354,0.18158803133048473,0.11459019535209958,4,"Dallas, TX",msa,TX
88,395148,0.09327343,0.11512715408360696,0.11154771156969856,18,"Tampa, FL",msa,FL
85,395121,0.092918426,0.22153998420817556,0.11915225290134668,21,"St. Louis, MO",msa,MO
73,395031,0.09167789,0.11213169215587193,0.09266994807657891,52,"Rochester, NY",msa,NY
26,394532,0.09148915,0.0937976259293396,0.11706292897851145,14,"Detroit, MI",msa,MI
10,394415,0.088988036,0.06775126898405137,0.11226510096625231,60,"Bridgeport, CT",msa,CT
33,394648,0.08803062,0.07829175822108936,0.11000516572095798,76,"Greensboro, NC",msa,NC
25,394531,0.08582391,0.18915892431559023,0.0909529520262804,84,"Des Moines, IA",msa,IA
99,753924,0.08515659,0.08956867218527265,0.1056542313412887,55,"Urban Honolulu, HI",msa,HI
27,394549,0.08181505,0.21819378922540422,0.10463724381762485,95,"Durham, NC",msa,NC
12,394440,0.0797361,0.0920594547476461,0.10627614781434991,78,"Cape Coral, FL",msa,FL
97,753899,0.07964994,0.12813301766590746,0.10958914374748918,2,"Los Angeles, CA",msa,CA
59,394938,0.07911205,0.20179074400308172,0.12158427108336545,59,"Omaha, NE",msa,NE
60,394943,0.078917414,0.12354817404485985,0.112613845710831,22,"Orlando, FL",msa,FL
36,394669,0.078413695,0.19074297480950064,0.1303201469223434,49,"Hartford, CT",msa,CT
5,394355,0.077941924,0.1315536534508135,0.11803093950466903,29,"Austin, TX",msa,TX
38,394714,0.077498615,0.1390258150193966,0.08980227043917433,40,"Jacksonville, FL",msa,FL
90,395167,0.077473104,0.10097594191296166,0.10096408000982815,54,"Tucson, AZ",msa,AZ
63,394971,0.07689263,0.09949407612644756,0.08997947694594455,111,"Pensacola, FL",msa,FL
67,394997,0.07493426,0.14710627139796384,0.10832738982091228,105,"Portland, ME",msa,ME
72,395025,0.074782275,0.20026432761001978,0.09671310248799259,13,"Riverside, CA",msa,CA
96,395245,0.074202806,0.22590847482044918,0.1016344163920837,106,"Youngstown, OH",msa,OH
51,394865,0.073584065,0.1677353873689862,0.12500527247064652,16,"Minneapolis, MN",msa,MN
66,394982,0.07304004,0.13057823170475213,0.11874660387666225,27,"Pittsburgh, PA",msa,PA
